ref_x,ref_y,ref_yaw,ref_z
-31.5930013134286,-11.1626992120402,-0.262975542367264,-0.0342033637546693
-31.5447202760759,-11.175696959235,-0.262975542368702,-0.036205342337705
-31.4964392387231,-11.1886947064299,-0.262975542369238,-0.0364814085096429
-31.4481582013704,-11.2016924536248,-0.262975542368702,-0.0391401561693551
-31.3998771640176,-11.2146902008197,-0.262975542367317,-0.0332223741736734
-31.3515961266649,-11.2276879480145,-0.262975542368702,-0.0367097061822243
-31.3033150893121,-11.2406856952094,-0.262975542369219,-0.0357635134667795
-31.2550340519594,-11.2536834424043,-0.262975542368721,-0.0329330929086274
-31.2067530146066,-11.2666811895992,-0.262975542367264,-0.0344849051366044
-31.1584719772539,-11.279678936794,-0.262975542368702,-0.0304968263017331
-31.1101909399011,-11.2926766839889,-0.262975542368721,-0.0324646235284081
-31.0619099025483,-11.3056744311838,-0.262975542369219,-0.0303681260698699
-31.0136288651956,-11.3186721783787,-0.262975542368702,-0.0312198622368741
-30.9653478278428,-11.3316699255736,-0.262975542367317,-0.0309737842717703
-30.9170667904901,-11.3446676727684,-0.262975542368702,-0.0285983985611174
-30.8687857531373,-11.3576654199633,-0.262975542369238,-0.0284354793990708
-30.8205047157846,-11.3706631671582,-0.262975542368702,-0.0306448693523022
-30.7722236784318,-11.3836609143531,-0.262975542367264,-0.0283874690264735
-30.7239426410791,-11.3966586615479,-0.262975542368721,-0.0224034280488654
-30.6756616037263,-11.4096564087428,-0.262975542368702,-0.0224034280488654
-30.6273805663735,-11.4226541559377,-0.262975542369238,-0.0237866826041291
-30.5790995290208,-11.4356519031326,-0.262975542366781,-0.0246402848263111
-30.530818491668,-11.4486496503274,-0.262975542369219,-0.0255905912278281
-30.4825374543153,-11.4616473975223,-0.262975542368721,-0.0216837829606655
-30.4342564169625,-11.4746451447172,-0.262975542369219,-0.0230152395048178
-30.3859753796098,-11.4876428919121,-0.262975542366747,-0.0234724836323771
-30.337694342257,-11.5006406391069,-0.262975542369238,-0.0250741014704768
-30.2894133049043,-11.5136383863018,-0.262975542368702,-0.0270377795242034
-30.2411322675515,-11.5266361334967,-0.262975542369238,-0.025138974421351
-30.1928512301988,-11.5396338806916,-0.262975542366781,-0.0265204081099542
-30.144570192846,-11.5526316278864,-0.262975542368702,-0.0233950171227341
-30.0962891554932,-11.5656293750813,-0.262975542369238,-0.0256149589742628
-30.0480081181405,-11.5786271222762,-0.262975542368702,-0.0249273179781352
-29.9997270807877,-11.5916248694711,-0.262975542367264,-0.0229001804592427
-29.951446043435,-11.6046226166659,-0.262975542368721,-0.0250057365169039
-29.9031650060822,-11.6176203638608,-0.262975542369219,-0.0251287143402112
-29.8548839687295,-11.6306181110557,-0.262975542368702,-0.0220529028260993
-29.8066029313767,-11.6436158582506,-0.262975542367317,-0.026641
-29.758321894024,-11.6566136054454,-0.262975542368702,-0.0254829530339521
-29.7100408566712,-11.6696113526403,-0.262975542369238,-0.0220541475551455
-29.6617598193185,-11.6826090998352,-0.262975542368668,-0.026716033016023
-29.6134787819657,-11.6956068470301,-0.262975542368702,-0.0250688553850191
-29.5651977446129,-11.708604594225,-0.262975542367317,-0.0236366465587517
-29.5169167072602,-11.7216023414198,-0.262975542368702,-0.0226099077600864
-29.4686356699074,-11.7346000886147,-0.262975542369238,-0.0294086068217867
-29.4203546325547,-11.7475978358096,-0.262975542368702,-0.0258834566224771
-29.3720735952019,-11.7605955830045,-0.262975542367298,-0.0271309487747311
-29.3237925578492,-11.7735933301993,-0.262975542368721,-0.0276682390906204
-29.2755115204964,-11.7865910773942,-0.262975542369185,-0.0309674051722422
-29.2272304831437,-11.7995888245891,-0.262975542368702,-0.0295528126529337
-29.1789494457909,-11.812586571784,-0.262975542367317,-0.029846337143073
-29.1306684084382,-11.8255843189788,-0.262975542368702,-0.0323801423409324
-29.0823873710854,-11.8385820661737,-0.262975542368702,-0.0330516987398283
-29.0341063337326,-11.8515798133686,-0.262975542369238,-0.0311701174031225
-28.9858252963799,-11.8645775605635,-0.262975542366781,-0.0316756880905811
-28.9375442590271,-11.8775753077583,-0.262975542369203,-0.0319545877053293
-28.8892632216744,-11.8905730549532,-0.262975542368702,-0.0308110902941224
-28.8409821843216,-11.9035708021481,-0.262975542369219,-0.0298794454459618
-28.7927011469689,-11.916568549343,-0.262975542366799,-0.0285830469584422
-28.7444201096161,-11.9295662965378,-0.262975542369219,-0.0283553825029047
-28.6961390722634,-11.9425640437327,-0.262975542368702,-0.0291735803609681
-28.6478580349106,-11.9555617909276,-0.262975542369238,-0.0281382391393808
-28.5995769975579,-11.9685595381225,-0.262975542366747,-0.0260523568908224
-28.5512959602051,-11.9815572853173,-0.262975542368721,-0.0242964970623657
-28.5030149228523,-11.9945550325122,-0.262975542369219,-0.0252894319792409
-28.4547338854996,-12.0075527797071,-0.262975542368702,-0.0249818407337836
-28.4064528481468,-12.020550526902,-0.262975542367317,-0.0259179492478728
-28.3581718107941,-12.0335482740968,-0.262975542368702,-0.0250277561332885
-28.3098907734413,-12.0465460212917,-0.262975542369238,-0.0239706131881565
-28.2616097360886,-12.0595437684866,-0.262975542368702,-0.0269287736851549
-28.2133286987358,-12.0725415156815,-0.262975542369219,-0.0256763349908844
-28.1650476613831,-12.0855392628764,-0.262975542366765,-0.0248210367293248
-28.1167666240303,-12.0985370100712,-0.262975542369219,-0.0255687853225957
-28.0684855866776,-12.1115347572661,-0.262975542368702,-0.0248437225082767
-28.0202045493248,-12.124532504461,-0.262975542368721,-0.0272934482686783
-27.971923511972,-12.1375302516559,-0.262975542367298,-0.0221758621210973
-27.9236424746193,-12.1505279988507,-0.262975542368702,-0.0224104308443216
-27.8753614372665,-12.1635257460456,-0.262975542369238,-0.0224104308443216
-27.8270803999138,-12.1765234932405,-0.262975542368702,-0.0254044028046249
-27.778799362561,-12.1895212404354,-0.262975542367282,-0.0225770755751511
-27.7305183252083,-12.2025189876302,-0.262975542368702,-0.0226959258286286
-27.6822372878555,-12.2155167348251,-0.262975542369219,-0.0202174496951667
-27.6339562505028,-12.22851448202,-0.262975542368721,-0.0222515737460623
-27.58567521315,-12.2415122292149,-0.262975542366781,-0.02229637732417
-27.5373941757972,-12.2545099764097,-0.262975542369238,-0.0237651457715644
-27.4891131384445,-12.2675077236046,-0.262975542368702,-0.0232082519846778
-27.4408321010917,-12.2805054707995,-0.262975542369219,-0.0254991374693884
-27.392551063739,-12.2935032179944,-0.262975542366765,-0.0241825791778428
-27.3442700263862,-12.3065009651892,-0.262975542369219,-0.0232769454244938
-27.2959889890335,-12.3194987123841,-0.262975542368702,-0.022655177889485
-27.2477079516807,-12.332496459579,-0.262975542369238,-0.0251155207174582
-27.199426914328,-12.3454942067739,-0.262975542366781,-0.0242406578200462
-27.1511458769752,-12.3584919539687,-0.262975542369238,-0.0275908897935418
-27.1028648396225,-12.3714897011636,-0.262975542368702,-0.0242333434589714
-27.0545838022697,-12.3844874483585,-0.262975542368702,-0.0232967542228978
-27.0063027649169,-12.3974851955534,-0.262975542369238,-0.0263339485008969
-26.9580217275642,-12.4104829427483,-0.262975542366747,-0.0273903097788854
-26.9097406902114,-12.4234806899431,-0.262975542369219,-0.0287089794556515
-26.8614596528587,-12.436478437138,-0.262975542368721,-0.0280260744229719
